,dt,M001001,M001003,M001004,M001007,M001009,M001010,M001012,M001015,M001016,M001017,M001018,M002001L,M002001Y,M002002L,M002002Y,M002003L,M002003Y,M002004L,M002004Y,M002005L,M002005Y,M002006L,M002006Y,M002008L,M002008Y,M002009L,M002009Y,M002010L,M002010Y,M002011L,M002011Y,M002012L,M002012Y,M002013L,M002013Y,M002014L,M002014Y,M002015L,M002015Y,M003001L,M003001Y,M003002L,M003002Y,M003003Y,M003004L,M003004Y,M003005L,M003005Y,M003006L,M003006Y,M003008L,M003008Y,M003009Y,M003010Y,M003011L,M003011Y,M003012L,M003012Y,M003013L,M003013Y,M003014L,M003014Y,M003015Y,M003016Y,M003017Y,M003018L,M003018Y,M003019L,M003019Y,M003020L,M003020Y,M003021L,M003021Y,M003022L,M003022Y,M003023L,M003023Y,M003024L,M003024Y,M003025L,M003025Y,M003026L,M003026Y,M003027Y,M003028L,M003028Y,M003029L,M003029Y,M003030L,M003030Y,M003031L,M003031Y,M003032L,M003032Y,M003033L,M003033Y,M003034L,M003034Y,M003035Y,M003036Y,M003037Y,M003038Y,M003039Y,M003040L,M003040Y,M004001,M004002,M004003,M004005,M004006,M004007,M004008Y,M004009Y,M004010Y,M004011Y,M004012Y,M004013Y,M004014Y,M004015Y,M004016L,M004016Y,M004017Y,M004019Y,M004021,M004022Y,M004023,M005001L,M005001Y,M005002L,M005002Y,M005003L,M005003Y,M005004L,M005004Y,M005005L,M005005Y,M005006Y,M005007L,M005007Y,M005008L,M005008Y,M005009L,M005009Y,M006001Y,M006002Y,M006003Y,M006004Y,M007001,M007002,M007004,M007005,M007007,M007008,M007009,M007011,M007012,M008001,M008002,M008003,M008004,M008005,M008006,M008007,M008009,M008010,M008011,M009003,M009006,M009007,M009008,M009010,M009011,M009012,M009013,M010002,M010003,M010004,M010005,M010006,M010007,M010008,M010010,M010011,M010012,M010013,M011002,M011003,M011004,M011005,M011006,M011007,M011008
high,2007-04-30,-0.0293100192442,,,,,,0.003198314731,,,0.197631018843,,,,,,,0.138751477697,,0.0208347453043,,0.0642749093856,,0.00384322324362,,0.0463334443556,,-0.0845973546126,,0.0244641551698,,0.0454145573975,,-0.0870948711702,,0.154481999108,,-0.0416521276402,,0.103416192525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.200431950813,0.198843805606,0.0992691399179,0.166348285446,0.11841980354,0.169901129689,0.0523177533185,0.0607173596724,0.121180723216,0.185155391898,0.0551796045514,-0.0372318766559,-0.141432891485,0.185155381586,,,-0.0910615261697,-0.101904114895,0.172735460316,0.0948527385389,0.107435551919,,,,,,,,,,,0.0749051026717,,,,,,,0.0508177904629,-0.0207961388852,-0.112084636475,-0.109028291908,-0.317017326471,-0.258061960105,-0.0638072776484,-0.199429086042,0.0566293061739,-0.297851775515,-0.00894514242316,-0.224238448555,-0.0557705769569,-0.197156743691,-0.293060082199,-0.243012308813,-0.31433777168,-0.302463978688,0.11856561616,-0.213513954131,-0.287827442088,-0.184846170862,0.0867666491159,-0.275572069016,-0.263278828529,-0.303801563002,-0.316689245934,0.203237318033,-0.249493963335,-0.0200271812599,-0.267830328956,0.0261208664273,0.206566108064,0.00899640679252,-0.0848125066919,-0.0861556258712,-0.0844193612283,0.00502042489317,-0.0313751476424,-0.334918797457,-0.0409115579501,-0.243823187309,0.0100098792249,-0.224560526446,0.0454020862291,-0.130043067026,-0.161900316188,0.154165571848,-0.0478418853126
high,2007-05-31,-0.173344693968,,,,,,0.167955722154,,,-0.0588650598444,,,,,,,0.283729640026,,0.321930848979,,0.366073847374,,0.347553031079,,0.0380292154528,,0.0941451239987,,0.10411806148,,-0.178800218698,,0.0784415004839,,-0.0274799896206,,-0.107137177837,,0.00433131338336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.378416001931,-0.367456759542,-0.0995791768009,-0.0110243441182,0.0431016076111,-0.0782984426359,0.259756181441,0.263374715221,0.0700651924701,0.0524837640352,0.0414915860307,-0.00583097618302,-0.0418138693193,0.052483781341,,,0.39083122303,0.0069311810216,-0.0177727114693,-0.0144716382529,0.0405478586739,,,,,,,,,,,-0.0354306125817,,,,,,,0.0194230410871,0.0982566605497,0.0295245772667,-0.00397595250752,0.100331664366,0.0772664488033,0.449576624872,-0.100103567566,0.520762868794,-0.211105232149,0.502455453144,-0.320852303912,-0.0374237312066,-0.0856183992777,-0.171995170604,-0.0482696785532,-0.242292150199,-0.119143360885,-0.282467099544,-0.0664036019961,0.00951691439471,-0.188229045413,-0.236815156688,-0.0906116927573,-0.24863628217,-0.338932956588,-0.0463756492039,0.0428910963027,0.252514168617,0.0786247109443,0.124508283281,0.184541585691,0.0367694425627,-0.0504015562737,-0.154894680376,0.0158463447653,-0.119120844876,0.514540036681,-0.125102713463,-0.204553828831,0.0926505688811,-0.101701311131,-0.180694896199,0.188260793176,0.104859961748,-0.156428548478,0.41509459858,0.212672165094,0.471694457559
high,2007-06-29,0.13238773367,,,,,,-0.167866025527,,,0.241952023734,,,,,,,-0.0793779789951,,-0.077893939106,,-0.104104336205,,-0.0760023709547,,-0.0674768714525,,-0.0474922016658,,-0.126289284924,,0.145618313474,,0.0162149679183,,0.0233349477748,,0.00690254030548,,-0.0570990304853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246263071681,0.127546489083,-0.0885268729511,-0.149463552358,-0.0704191077157,0.109868640565,-0.168991677226,-0.167825791766,0.0540262709003,0.0407443597152,0.0631906426572,-0.0716634645404,-0.0960318859822,0.0407443824877,,,-0.139758024054,0.0371878562857,-0.149695641328,0.0417404176194,-0.0610873481855,,,,,,,,,,,0.062416005065,,,,,,,0.00539383161261,-0.114606075906,-0.12345693632,-0.10566106519,-0.206853809104,-0.220110214511,-0.21186713213,-0.2013772855,-0.185632236827,-0.139322536916,-0.219870099932,-0.127420712101,-0.20003703778,-0.0377283780347,-0.220106977802,-0.0865175144125,-0.263074133803,-0.249819646839,0.0803813863801,-0.11631191733,-0.225045719527,-0.270536463344,-0.0516479008068,-0.249601548613,-0.271891165104,-0.0791663930946,-0.274157511195,-0.0206907019027,-0.0844735768704,-0.122494475871,-0.215320201078,-0.0250007476105,0.157033991212,0.0343218053911,0.103324855434,-0.0243264764831,0.0319325375649,-0.209271734284,-0.0785662248501,-0.18121721284,-0.123598741928,-0.138709896667,-0.0197071513485,-0.112078699833,-0.0274168342274,-0.24257542671,-0.18834898214,0.241860637255,-0.236427463655
high,2007-07-31,0.127994757784,,,,,,-0.0888215582074,,,0.0611855512815,,,,,,,-0.100890364313,,-0.0812051725262,,-0.142767897332,,-0.107896476749,,0.0132696974053,,-0.0696531836385,,0.0660274776078,,0.0083429359319,,-0.07879153148,,0.0186505193472,,0.0500001185524,,-0.0204362319519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.102793387467,0.150008940222,0.155954661847,0.0341889099866,-0.114544537387,0.119268526204,-0.00774931587878,-0.00855232572905,0.0742474967124,0.0948452487619,0.0468931434614,-0.0332727265289,0.0574192547336,0.0948452668216,,,-0.177047783928,0.0326629852637,0.032076362968,0.108025804073,-0.125228779962,,,,,,,,,,,-0.0213415172297,,,,,,,-0.0220222583501,0.0071073040759,-0.0140543372332,-0.00243546596275,-0.170099679227,-0.176474199069,-0.152086953773,0.00165329088138,-0.153689281683,-0.00764801059884,-0.15297831472,-0.0205782458902,0.0305972087412,-0.104988096776,-0.0526256799167,-0.0168716792655,-0.0665759184726,-0.109065330937,0.148231689123,-0.135231771318,-0.181996236778,-0.116593092861,-0.117532890333,-0.0266732329924,-0.0660490087796,0.0324289874178,-0.112210993181,0.0699180334828,-0.0309353739396,-0.125296598143,-0.0182834828425,-0.095154186385,-0.0790062164032,-0.116798935389,0.0328054051075,0.0138462167093,0.0369565493706,-0.155423979457,-0.0816131375487,-0.0574452908715,-0.0557173360645,-0.0598831900076,-0.0636353837417,-0.19359822978,0.0529924764471,-0.101548876982,-0.163056977994,0.154668093853,-0.157230630936
high,2007-08-31,0.0703517617693,,,,,,-0.109802872098,,,-0.0993869355534,,,,,,,-0.0999732725614,,-0.0502525905107,,-0.00354032720614,,-0.073644972781,,0.046187968067,,0.0074114213759,,-0.0304020086578,,0.00186349498487,,0.049190958947,,-0.123787655345,,0.0102189243278,,-0.0771759580108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0810976263987,0.0401034656804,-0.0565679079213,-0.139377932445,-0.142202422545,0.00377741276981,-0.0206029878336,-0.131495145294,-0.00923148711654,-0.00475643312748,0.0107890371738,0.0289436647606,0.239067582676,-0.00475646089156,,,-0.135393666963,-0.0757478226309,-0.152558158954,0.0658774213118,-0.129214890691,,,,,,,,,,,0.0459649650838,,,,,,,-0.120380659329,-0.0803215128754,-0.0316411389744,-0.0440706847467,0.145552367227,0.115736511692,-0.172322742983,0.105296596817,-0.225712795999,0.174577462642,-0.204084469413,0.0968962192027,0.19434323308,0.107197104326,0.0976909518351,0.0724674330237,0.140216483632,0.170718000467,0.0812759995227,0.163166730501,0.114521958324,0.116692268099,-0.150855239593,0.192423285755,0.122677497721,0.1245348748,0.156442436995,-0.019823309707,0.0202423792814,-0.107578946066,0.158351254586,-0.0172163122814,-0.144321745951,-0.0524239135382,0.182167098216,0.144428164091,0.136591667121,-0.215068992139,0.105684126807,0.204542662737,0.108421944075,0.122502093463,-0.258921059319,0.124778506664,-0.00548007934049,0.193668310405,-0.149647391453,-0.196168650565,-0.183385791126
high,2007-09-28,-0.108439611513,,,,,,0.0924473784369,,,0.0554905283196,,,,,,,0.0422926132725,,0.076966090433,,0.0576277902245,,0.121552804672,,-0.031133188634,,0.0994182901713,,-0.0489355209541,,0.12555021225,,-0.120300206138,,-0.0128992687658,,-0.0250401323551,,0.0243217358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.192109077334,-0.148640827336,0.00983595404913,0.0953977049249,0.0846416986052,-0.0231143792097,0.0549183959374,0.117167373508,0.0341040119859,0.0638682434241,0.00867771873201,-0.065451550032,-0.0453603851358,0.0638682533414,,,0.0554091101706,0.182244128934,0.0811432168495,0.0730087311195,0.0784941633949,,,,,,,,,,,-0.0400575855898,,,,,,,0.0504613893975,0.0401811266063,0.0449577337488,0.0263907581882,-0.00921017355758,0.0065229609313,0.114976660863,-0.121501583015,0.197206799805,-0.0662113157531,0.223029447188,0.143865924773,0.0899340851657,0.100946633871,0.0204088782888,0.0256516977676,-0.00301372550913,-0.0424335011923,-0.182373866686,0.0071668827419,0.0114504567139,0.00749734230716,0.193359103587,0.02771207989,-0.0597725579058,-0.112288574749,0.0469277881499,0.12260919391,0.10097582569,0.202821428658,0.0863439757762,0.0829693608526,0.0522713116935,-0.0492802058679,-0.160607483623,-0.074701623401,-0.116500135116,0.235525089348,-0.0416459132458,-0.00603244821621,0.0445177806293,-0.0515731752315,-0.0488695544013,0.0102811459427,-0.000849964275975,-0.0620102679252,0.171787477406,0.0509138700163,0.228995527114
high,2007-10-31,0.241809588158,,,,,,-0.244900618597,,,-0.0868542319787,,,,,,,-0.0562505843888,,-0.071102218273,,-0.0551809450437,,-0.07542091403,,0.0589679996269,,0.0213208975613,,0.0355976776529,,-0.0553515325336,,-0.00519325708051,,-0.00561659395667,,0.0257297984192,,0.0166786665299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.150180691219,0.101028633345,-0.0452114303012,-0.351134101573,-0.37040654781,-0.126212473498,-0.101368386995,-0.0989800360986,-0.203171628816,-0.18510106982,-0.132128789271,0.0930790737964,0.0742346825301,-0.185101078052,,,-0.0312437929166,-0.019491298511,-0.330839923296,-0.14115072231,-0.35365440543,,,,,,,,,,,-0.0629015186644,,,,,,,0.0589330614976,0.115200008533,0.178560747685,0.18347312865,-0.176353219391,-0.214791239293,-0.0656284843629,-0.00360430806968,-0.294718646663,-0.185085764041,-0.368061782186,0.22021749807,-0.160350147731,-0.353510848718,-0.322712115463,-0.312433415825,-0.380052283493,-0.367122266622,0.359488697625,-0.368516952976,-0.218989077446,-0.446174027437,-0.259001477125,-0.302807156008,-0.366923516228,-0.323533509521,-0.378476623908,0.141244247245,-0.0334879975498,-0.287172556587,-0.00609938770467,-0.0247581066837,0.248300588057,0.113328195417,-0.00284006386387,-0.104156762231,-0.0549196097593,-0.359609507682,-0.192023436297,-0.315212561254,-0.211326891083,0.0591248974213,-0.047607880011,-0.202546195088,-0.0226977127061,-0.38196693506,-0.392058187233,0.139506743067,-0.37435728995
high,2007-11-30,0.00515072306128,,,,,,-0.0596126516865,,,-0.108393112631,,,,,,,0.013946599311,,-0.00357326116158,,0.00607489067418,,0.000314618415818,,-0.0172486244482,,-0.0774363400835,,0.0811067528369,,-0.0117522317327,,-0.0985234296601,,0.00786527027998,,0.0497670118813,,0.0876846843067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0545172285362,-0.0630759716275,-0.00219189900184,-0.0420542737789,-0.0589801180507,-0.0323310669909,0.105115074371,0.0938201340978,-0.0511942742165,-0.0811796188955,-0.0874007208339,0.0695242812285,0.202984806268,-0.0811796021286,,,-0.00427112833124,-0.011765778519,-0.0552685092865,-0.056284445825,-0.0558827866996,,,,,,,,,,,-0.00302014719464,,,,,,,-0.159290067229,-0.0466040412737,-0.0258944261,-0.0438318309844,-0.0770759734226,-0.0310074904087,0.00997184247136,-0.0781305118843,0.036722508578,-0.0824202516203,0.0292045396948,-0.10901371072,-0.0993566369271,0.0479914383083,-0.00416091521993,-0.00626751589918,-0.0470103180781,-0.0226023807176,-0.0137860155733,0.0130922019225,-0.0465230408617,-0.0332815842989,-0.133870425643,-0.120517963033,-0.021323060337,-0.0458380685779,-0.140118688347,-0.0800003956066,-0.247489806433,-0.0553524887788,-0.146101394913,0.0500818286688,0.0272149175423,-0.045872334826,-0.0711568529919,-0.0572197985857,-0.0846076551442,0.0236828842663,-0.00282351212669,-0.201492702918,-0.168968419693,-0.0128954842308,-0.068333834484,0.00665944069086,-0.0347428525646,-0.0370555270525,-0.0578012831046,0.0808748965374,0.0234833593491
high,2007-12-28,0.0628809633405,,,,,,-0.00673546329646,,,0.00169059855393,,,,,,,-0.0173625446113,,0.0246607977291,,-0.0362112633832,,0.0283657394412,,0.0631117608002,,0.0831856924479,,0.0239433304256,,-0.0499683631033,,0.0610042316369,,0.0110878592952,,0.00747266236494,,-0.0369598002066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.094898816701,-0.0470260003611,0.0565548930549,-0.0421100209962,-0.0785397906044,0.0716397602409,0.035940437102,0.0479465069841,0.108558924103,0.136182884903,0.0326345026004,0.00244830712861,-0.104073679905,0.136182903788,,,0.0850001801518,0.062679678239,-0.0204278097328,0.0483059755389,-0.0688779987977,,,,,,,,,,,-0.0259452800002,,,,,,,0.0420103303148,0.021132764923,0.00354367995399,-0.0189702112871,-0.0200918792131,-0.0436339482449,0.0443511875565,0.0235568093936,0.036143213263,0.0666165874791,0.0256564150335,-0.0246943360361,-0.0651723595042,-0.0791000788101,-0.0402427166736,-0.0372870220191,-0.0213784857175,-0.0252381167415,0.0544158467862,-0.0325313525877,-0.0359951209163,-0.0388748149177,0.0628479500319,-0.0474607314735,0.0222405045788,-0.0539889008946,-0.0826957141899,0.0734567910491,-0.0199505858886,0.095406903287,-0.0150358567089,0.122353102619,0.0716750300183,0.211244238812,0.003425766316,-0.0294158049579,-0.00255200097689,0.0272725447733,-0.0372757803342,0.100307924941,-0.0014565678904,0.0350131132836,-0.0440039986898,-0.0321257770301,0.104844805003,-0.0843999553154,0.00720280279713,-0.0086370506716,0.0225304182877
high,2008-01-31,0.0478427051005,,,,,,-0.106134432277,,,-0.0718259215348,,,,,,,-0.0824785338342,,-0.0701349844938,,0.0389449143479,,-0.101245997949,,0.0157067039031,,0.128486946054,,0.0818556255645,,-0.0510343187068,,-0.0513275370582,,-0.160130305412,,0.109755230836,,-0.148013787311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0341806433787,0.0334123233568,-0.0161987737189,-0.126609588471,-0.144483951372,-0.00378268214789,-0.140100933633,-0.145143250374,0.0319407085124,-0.0184152940343,0.056969326419,-0.0814788352826,0.295700477101,-0.0184152862307,,,-0.0574467866025,-0.0311745315986,-0.125058571746,0.129763965378,-0.142622893838,,,,,,,,,,,0.0408149551288,,,,,,,-0.196790563839,-0.137168286273,-0.101366624928,-0.106905379885,-0.0840215651036,-0.0937293970871,-0.128352294821,-0.0753490562994,-0.2045385436,-0.0849170736032,-0.138288945734,0.0506277824899,-0.0258616332252,-0.0642428385208,-0.0250877038556,-0.0098050722753,-0.091642820953,-0.0897223567799,0.0496182423113,-0.122415723552,-0.0788680259813,-0.0908369717139,0.0725729951236,-0.178415820578,-0.0836207649218,-0.100561063885,-0.163201775492,9.92655984085e-05,-0.0601982455541,0.00639020910659,-0.205771597481,-0.102191439548,0.0266292160776,-0.0503404214686,0.179544996551,0.150347068875,0.159751840101,-0.129869894279,-0.00423507096706,-0.132921090211,0.0170995785942,-0.0488039630884,-0.0916382102304,-0.102518092341,-0.0974103810628,-0.0107179022175,-0.102815654731,0.0399408352889,-0.15066701993
